CONFIG_MISSION_NUMBER,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_QC,PSAL,PSAL_QC,TEMP,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
1,23,D,A,1901463,1,5.0,1,37.448951721191406,1,24.08099937438965,1,1,24.541,-45.143,2011-01-01 11:49:19
1,23,D,A,1901463,1,10.0,1,37.44792938232422,1,24.083999633789062,1,1,24.541,-45.143,2011-01-01 11:49:19
1,10,D,A,4901211,1,2.0,1,37.276058197021484,1,24.027999877929688,1,1,25.042,-51.584,2011-01-02 10:10:50
1,10,D,A,4901211,1,4.0,1,37.27626037597656,1,24.027000427246094,1,1,25.042,-51.584,2011-01-02 10:10:50
1,10,D,A,4901211,1,6.0,1,37.27608108520508,1,24.020000457763672,1,1,25.042,-51.584,2011-01-02 10:10:50
1,10,D,A,4901211,1,8.0,1,37.27701950073242,1,24.01799964904785,1,1,25.042,-51.584,2011-01-02 10:10:50
1,10,D,A,4901211,1,10.0,1,37.27587127685547,1,24.017000198364258,1,1,25.042,-51.584,2011-01-02 10:10:50
1,135,D,A,4900818,1,5.0,1,36.67900085449219,1,25.14699935913086,1,1,21.481,-60.819,2011-01-02 10:23:10
1,135,D,A,4900818,1,10.0,1,36.6790885925293,1,25.14699935913086,1,1,21.481,-60.819,2011-01-02 10:23:10
1,23,D,A,1901461,1,5.0,1,37.0089111328125,1,23.226999282836914,1,1,27.829,-56.303,2011-01-02 11:26:40
1,23,D,A,1901461,1,10.0,1,37.006988525390625,1,23.232999801635742,1,1,27.829,-56.303,2011-01-02 11:26:40
1,119,D,A,4900847,1,5.0,1,37.055999755859375,1,21.700000762939453,1,1,29.334,-51.743,2011-01-02 11:28:31
1,119,D,A,4900847,1,10.0,1,37.05598831176758,1,21.700000762939453,1,1,29.334,-51.743,2011-01-02 11:28:31
1,160,D,A,4900781,1,5.0,1,36.717891693115234,1,21.445999145507812,1,1,28.591,-69.982,2011-01-02 12:08:13
1,160,D,A,4900781,1,10.0,1,36.71699142456055,1,21.452999114990234,1,1,28.591,-69.982,2011-01-02 12:08:13
1,134,D,A,4900823,1,5.0,1,37.448978424072266,1,25.280000686645508,1,1,22.317,-48.61,2011-01-04 10:51:56
1,134,D,A,4900823,1,10.0,1,37.44900131225586,1,25.281999588012695,1,1,22.317,-48.61,2011-01-04 10:51:56
1,132,D,A,4900830,1,5.0,1,37.24198913574219,1,24.82699966430664,1,1,24.946,-47.273,2011-01-04 11:32:07
1,132,D,A,4900830,1,10.0,1,37.243011474609375,1,24.827999114990234,1,1,24.946,-47.273,2011-01-04 11:32:07
1,157,D,A,4900789,1,5.0,1,37.282989501953125,1,23.777000427246094,1,1,25.741,-51.361,2011-01-05 11:15:00
1,157,D,A,4900789,1,10.0,1,37.282989501953125,1,23.777999877929688,1,1,25.741,-51.361,2011-01-05 11:15:00
1,135,D,A,4900819,1,5.0,1,36.96297073364258,1,25.95400047302246,1,1,20.208,-49.866,2011-01-05 11:17:26
1,135,D,A,4900819,1,10.0,1,36.96302032470703,1,25.95599937438965,1,1,20.208,-49.866,2011-01-05 11:17:26
1,157,D,A,4900785,1,5.0,1,36.83898162841797,1,21.55699920654297,1,1,28.499,-70.672,2011-01-05 11:30:14
1,157,D,A,4900785,1,10.0,1,36.83797836303711,1,21.558000564575195,1,1,28.499,-70.672,2011-01-05 11:30:14
1,2,D,A,4901224,1,5.0,1,36.61899948120117,1,24.52400016784668,1,1,24.854,-71.366,2011-01-06 11:16:02
1,2,D,A,4901224,1,10.0,1,36.61994934082031,1,24.524999618530273,1,1,24.854,-71.366,2011-01-06 11:16:02
1,129,D,A,4900839,1,5.0,1,36.699100494384766,1,20.61199951171875,1,1,29.98,-59.645,2011-01-06 11:25:16
1,129,D,A,4900839,1,10.0,1,36.698001861572266,1,20.604999542236328,1,1,29.98,-59.645,2011-01-06 11:25:16
1,2,D,A,4901221,1,5.0,1,36.30698013305664,1,24.8700008392334,1,1,23.5,-68.214,2011-01-06 12:57:31
1,2,D,A,4901221,1,10.0,1,36.30686950683594,1,24.871000289916992,1,1,23.5,-68.214,2011-01-06 12:57:31
1,2,D,A,4901222,1,5.0,1,36.8179817199707,1,22.357999801635742,1,1,26.379,-73.534,2011-01-07 10:57:56
1,2,D,A,4901222,1,10.0,1,36.817970275878906,1,22.358999252319336,1,1,26.379,-73.534,2011-01-07 10:57:56
0,119,D,A,4901083,1,4.599999904632568,1,37.0040397644043,1,23.35099983215332,1,1,27.941999435424805,-56.907012939453125,2011-01-07 12:15:00
0,119,D,A,4901083,1,9.100000381469727,1,37.0040397644043,1,23.350000381469727,1,1,27.941999435424805,-56.907012939453125,2011-01-07 12:15:00
1,137,D,A,4900808,1,5.0,1,36.80099105834961,1,21.535999298095703,1,1,27.857,-71.873,2011-01-07 12:42:07
1,137,D,A,4900808,1,10.0,1,36.80097961425781,1,21.53700065612793,1,1,27.857,-71.873,2011-01-07 12:42:07
1,117,D,A,4900851,1,5.0,1,37.257999420166016,1,25.365999221801758,1,1,20.115,-48.832,2011-01-08 11:50:27
1,117,D,A,4900851,1,10.0,1,37.255001068115234,1,25.36199951171875,1,1,20.115,-48.832,2011-01-08 11:50:27
1,165,D,A,4900794,1,2.0,1,36.81499099731445,1,22.51799964904785,1,1,27.845,-61.532,2011-01-08 11:59:26
